gpt5_ID,gpt5_open_boundary_openness,gpt5_breath_self_regulation,gpt5_systems_policy_orientation
P001_S1_B1_L1,0.78,0.80,0.00
P001_S1_B1_L2,0.78,0.82,0.00
P001_S1_B1_L3,0.78,0.83,0.00
P001_S1_B1_L4,0.80,0.84,0.00
P001_S1_B1_L5,0.85,0.86,0.00
P001_S1_B1_L6,0.85,0.92,0.00
P001_S1_B1_L7,0.84,0.86,0.00
P001_S1_B1_L8,0.82,0.84,0.00
P001_S1_B2_L1,0.83,0.85,0.00
P001_S1_B2_L2,0.82,0.85,0.00
P001_S1_B2_L3,0.83,0.84,0.00
P001_S1_B2_L4,0.80,0.83,0.00
P001_S1_B2_L5,0.92,0.87,0.00
P001_S1_B2_L6,0.90,0.88,0.00
P001_S1_B2_L7,0.88,0.84,0.00
P001_S1_B2_L8,0.84,0.90,0.00
P001_S1_B3_L1,0.84,0.86,0.00
P001_S1_B3_L2,0.85,0.90,0.00
P001_S1_B3_L3,0.84,0.88,0.00
P001_S1_B3_L4,0.88,0.86,0.00
P001_S1_B3_L5,0.93,0.86,0.00
P001_S1_B3_L6,0.95,0.87,0.00
P001_S1_B3_L7,0.90,0.84,0.00
P001_S1_B3_L8,0.86,0.86,0.00
P001_S1_B4_L1,0.90,0.85,0.00
P001_S1_B4_L2,0.88,0.82,0.00
P001_S1_B4_L3,0.90,0.84,0.00
P001_S1_B4_L4,0.85,0.88,0.00
P001_S1_B4_L5,0.85,0.83,0.00
P001_S1_B4_L6,0.86,0.90,0.00
P001_S1_B4_L7,0.84,0.85,0.00
P001_S1_B4_L8,0.86,0.95,0.00
P001_S1_B5_L1,0.86,0.93,0.00
P001_S1_B5_L2,0.84,0.84,0.00
P001_S1_B5_L3,0.86,0.87,0.00
P001_S1_B5_L4,0.86,0.86,0.00
P001_S1_B5_L5,0.92,0.90,0.00
P001_S1_B5_L6,0.88,0.90,0.00
P001_S1_B5_L7,0.86,0.88,0.00
P001_S1_B5_L8,0.88,0.88,0.00
P001_S1_B5_L9,0.88,0.87,0.00
