gpt5_ID,gpt5_boundary_conscious_social_restraint
P002_S1_B1_L1,0.25
P002_S1_B1_L2,0.15
P002_S1_B1_L3,0.20
P002_S1_B1_L4,0.10
P002_S1_B1_L5,0.05
P002_S1_B1_L6,0.05
P002_S1_B1_L7,0.05
P002_S1_B1_L8,0.05
P002_S1_B2_L1,0.25
P002_S1_B2_L2,0.10
P002_S1_B2_L3,0.10
P002_S1_B2_L4,0.05
P002_S1_B2_L5,0.10
P002_S1_B2_L6,0.05
P002_S1_B2_L7,0.10
P002_S1_B2_L8,0.90
P002_S1_B3_L1,0.95
P002_S1_B3_L2,0.98
P002_S1_B3_L3,0.92
P002_S1_B3_L4,0.85
P002_S1_B3_L5,0.05
P002_S1_B3_L6,0.90
P002_S1_B3_L7,0.70
P002_S1_B3_L8,0.30
P002_S1_B4_L1,0.10
P002_S1_B4_L2,0.10
P002_S1_B4_L3,0.02
P002_S1_B4_L4,0.03
P002_S1_B4_L5,0.92
P002_S1_B4_L6,0.90
P002_S1_B4_L7,0.40
P002_S1_B4_L8,0.10
P002_S1_B5_L1,0.05
P002_S1_B5_L2,0.05
P002_S1_B5_L3,0.05
P002_S1_B5_L4,0.30
P002_S1_B5_L5,0.95
P002_S1_B5_L6,0.85
P002_S1_B5_L7,0.40
P002_S1_B5_L8,0.90
