gpt5_ID,gpt5_attention_state_oscillation,gpt5_physiological_monitoring_hypotheses,gpt5_performance_vigilance,gpt5_professional_boundary_awareness
P003_S2_B1_L1,0.1,0.0,0.3,0.8
P003_S2_B1_L2,0.4,0.0,0.2,0.2
P003_S2_B1_L3,0.3,0.2,0.1,0.7
P003_S2_B1_L4,0.3,0.0,0.4,0.9
P003_S2_B1_L5,0.2,0.0,0.3,0.8
P003_S2_B1_L6,0.2,0.0,0.3,0.9
P003_S2_B1_L7,0.3,0.2,0.1,0.6
P003_S2_B1_L8,0.2,0.3,0.1,0.6
P003_S2_B1_L9,0.6,0.0,0.3,0.2
P003_S2_B2_L1,0.2,0.0,0.5,0.7
P003_S2_B2_L2,0.1,0.0,0.2,0.3
P003_S2_B2_L3,0.1,0.0,0.2,0.3
P003_S2_B2_L4,0.1,0.0,0.2,0.2
P003_S2_B2_L5,0.1,0.0,0.2,0.2
P003_S2_B2_L6,0.2,0.0,0.1,0.8
P003_S2_B2_L7,0.4,0.0,0.3,0.9
P003_S2_B2_L8,0.3,0.0,0.3,0.7
P003_S2_B2_L9,0.3,0.0,0.2,0.2
P003_S2_B2_L10,0.1,0.0,0.2,0.3
P003_S2_B3_L1,0.2,0.0,0.1,0.3
P003_S2_B3_L2,0.1,0.0,0.2,0.6
P003_S2_B3_L3,0.5,0.0,0.4,0.7
P003_S2_B3_L4,0.4,0.0,0.2,0.5
P003_S2_B3_L5,0.4,0.0,0.3,0.9
P003_S2_B3_L6,0.1,0.0,0.2,0.3
P003_S2_B3_L7,0.1,0.0,0.1,0.3
P003_S2_B3_L8,0.2,0.0,0.2,0.2
P003_S2_B3_L9,0.3,0.1,0.2,0.3
P003_S2_B4_L1,0.5,0.3,0.1,0.2
P003_S2_B4_L2,0.2,0.0,0.1,0.6
P003_S2_B4_L3,0.2,0.0,0.3,0.9
P003_S2_B4_L4,0.1,0.0,0.2,0.3
P003_S2_B4_L5,0.1,0.0,0.2,0.4
P003_S2_B4_L6,0.1,0.0,0.1,0.6
P003_S2_B4_L7,0.4,0.0,0.3,0.3
P003_S2_B4_L8,0.3,0.0,0.3,0.3
P003_S2_B4_L9,0.7,0.0,0.3,0.2
P003_S2_B4_L10,0.2,0.0,0.3,0.8
P003_S2_B5_L1,0.2,0.0,0.3,0.8
P003_S2_B5_L2,0.2,0.0,0.4,0.8
P003_S2_B5_L3,0.2,0.0,0.2,0.2
P003_S2_B5_L4,0.3,0.0,0.2,0.2
P003_S2_B5_L5,0.4,0.1,0.2,0.2
P003_S2_B5_L6,0.2,0.0,0.4,0.9
P003_S2_B5_L7,0.2,0.1,0.3,0.7
P003_S2_B5_L8,0.1,0.0,0.2,0.5
P003_S2_B5_L9,0.2,0.0,0.5,0.9
P003_S2_B5_L10,0.1,0.0,0.2,0.7
