gpt5_ID,gpt5_emotional_bandwidth_allocation
P003_S2_B1_L1,0.10
P003_S2_B1_L2,0.10
P003_S2_B1_L3,0.10
P003_S2_B1_L4,0.10
P003_S2_B1_L5,0.20
P003_S2_B1_L6,0.15
P003_S2_B1_L7,0.25
P003_S2_B1_L8,0.10
P003_S2_B1_L9,0.05
P003_S2_B2_L1,0.10
P003_S2_B2_L2,0.20
P003_S2_B2_L3,0.65
P003_S2_B2_L4,0.20
P003_S2_B2_L5,0.25
P003_S2_B2_L6,0.20
P003_S2_B2_L7,0.15
P003_S2_B2_L8,0.10
P003_S2_B2_L9,0.35
P003_S2_B2_L10,0.45
P003_S2_B3_L1,0.10
P003_S2_B3_L2,0.10
P003_S2_B3_L3,0.35
P003_S2_B3_L4,0.30
P003_S2_B3_L5,0.40
P003_S2_B3_L6,0.30
P003_S2_B3_L7,0.70
P003_S2_B3_L8,0.35
P003_S2_B3_L9,0.30
P003_S2_B4_L1,0.10
P003_S2_B4_L2,0.25
P003_S2_B4_L3,0.10
P003_S2_B4_L4,0.55
P003_S2_B4_L5,0.40
P003_S2_B4_L6,0.20
P003_S2_B4_L7,0.10
P003_S2_B4_L8,0.35
P003_S2_B4_L9,0.10
P003_S2_B4_L10,0.50
P003_S2_B5_L1,0.40
P003_S2_B5_L2,0.10
P003_S2_B5_L3,0.35
P003_S2_B5_L4,0.30
P003_S2_B5_L5,0.60
P003_S2_B5_L6,0.20
P003_S2_B5_L7,0.10
P003_S2_B5_L8,0.50
P003_S2_B5_L9,0.20
P003_S2_B5_L10,0.10
