condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,vas_loving,3,"50.00 [50.00, 50.00]",4,"75.00 [67.50, 85.00]",0.0,1.00,0.05*
placebo,vas_loving,4,"50.00 [50.00, 52.50]",4,"70.00 [60.00, 85.00]",1.0,0.94,0.05*
placebo,vas_loving,3,"50.00 [50.00, 50.00]",4,"75.00 [67.50, 85.00]",0.0,1.00,0.05*
placebo,vas_loving,4,"50.00 [50.00, 52.50]",4,"80.00 [67.50, 92.50]",0.5,0.97,0.05*
placebo,vas_loving,4,"50.00 [50.00, 51.25]",4,"75.00 [60.00, 92.50]",0.0,1.00,0.05*
mdma_high,vas_loving,5,"50.00 [50.00, 60.00]",4,"72.50 [65.00, 81.25]",5.0,0.75,0.62
mdma_high,vas_loving,5,"60.00 [50.00, 60.00]",4,"72.50 [63.75, 85.00]",3.0,0.85,0.52
mdma_high,vas_loving,5,"60.00 [50.00, 80.00]",4,"70.00 [57.50, 85.00]",8.0,0.60,0.88
mdma_high,vas_loving,5,"80.00 [70.00, 90.00]",4,"90.00 [72.50, 100.00]",7.0,0.65,0.88
mdma_high,vas_loving,5,"75.00 [70.00, 90.00]",3,"70.00 [60.00, 85.00]",8.0,0.53,1.00
