biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,vas_loving,4,"75.00 [67.50, 85.00]",4,"72.50 [65.00, 81.25]",9.0,0.56,1.00
high,vas_loving,4,"70.00 [60.00, 85.00]",4,"72.50 [63.75, 85.00]",7.0,0.56,1.00
high,vas_loving,4,"75.00 [67.50, 85.00]",4,"70.00 [57.50, 85.00]",9.5,0.59,1.00
high,vas_loving,4,"80.00 [67.50, 92.50]",4,"90.00 [72.50, 100.00]",7.0,0.56,1.00
high,vas_loving,4,"75.00 [60.00, 92.50]",3,"70.00 [60.00, 85.00]",6.5,0.54,1.00
low,vas_loving,3,"50.00 [50.00, 50.00]",5,"50.00 [50.00, 60.00]",4.5,0.70,0.34
low,vas_loving,4,"50.00 [50.00, 52.50]",5,"60.00 [50.00, 60.00]",6.0,0.70,0.34
low,vas_loving,3,"50.00 [50.00, 50.00]",5,"60.00 [50.00, 80.00]",3.0,0.80,0.29
low,vas_loving,4,"50.00 [50.00, 52.50]",5,"80.00 [70.00, 90.00]",2.5,0.88,0.18
low,vas_loving,4,"50.00 [50.00, 51.25]",5,"75.00 [70.00, 90.00]",2.5,0.88,0.18
