var,block,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
n_second_person_singular_to_n_words,1,34,"0.00 [0.00, 0.03]",34,"0.01 [0.00, 0.03]",540,0.53,0.74
n_second_person_singular_to_n_words,2,34,"0.02 [0.00, 0.04]",40,"0.00 [0.00, 0.03]",738.5,0.54,0.66
n_second_person_singular_to_n_words,3,37,"0.02 [0.00, 0.07]",37,"0.03 [0.00, 0.05]",699.5,0.51,0.89
n_second_person_singular_to_n_words,4,37,"0.00 [0.00, 0.03]",41,"0.00 [0.00, 0.03]",828,0.55,0.60
n_second_person_singular_to_n_words,5,40,"0.00 [0.00, 0.04]",46,"0.00 [0.00, 0.04]",809,0.56,0.45
pause_duration_per_sec,1,34,"0.00 [0.00, 0.00]",34,"0.00 [0.00, 0.21]",439,0.62,0.05+
pause_duration_per_sec,2,34,"0.00 [0.00, 0.10]",40,"0.00 [0.00, 0.25]",506.5,0.63,0.06+
pause_duration_per_sec,3,37,"0.00 [0.00, 0.00]",37,"0.10 [0.00, 0.45]",357,0.74,1.69x10-4***
pause_duration_per_sec,4,37,"0.00 [0.00, 0.00]",41,"0.29 [0.00, 0.78]",356,0.77,3.64x10-5***
pause_duration_per_sec,5,40,"0.00 [0.00, 0.00]",46,"0.08 [0.00, 0.20]",471,0.74,3.64x10-5***
jitter,1,34,"0.02 [0.02, 0.02]",34,"0.02 [0.02, 0.02]",509,0.56,0.59
jitter,2,34,"0.02 [0.02, 0.03]",40,"0.03 [0.02, 0.03]",418,0.69,0.02*
jitter,3,37,"0.02 [0.02, 0.02]",37,"0.03 [0.03, 0.03]",238,0.83,3.56x10-5***
jitter,4,37,"0.02 [0.02, 0.03]",41,"0.03 [0.03, 0.04]",313,0.79,5.29x10-5***
jitter,5,40,"0.02 [0.02, 0.03]",46,"0.03 [0.02, 0.03]",636,0.65,0.03*
n_first_person_singular_to_n_words,1,34,"0.14 [0.09, 0.17]",34,"0.10 [0.05, 0.13]",794,0.69,0.02*
n_first_person_singular_to_n_words,2,34,"0.09 [0.04, 0.11]",40,"0.08 [0.05, 0.12]",630,0.54,0.74
n_first_person_singular_to_n_words,3,37,"0.09 [0.05, 0.12]",37,"0.08 [0.06, 0.12]",701.5,0.51,0.89
n_first_person_singular_to_n_words,4,37,"0.10 [0.05, 0.14]",41,"0.09 [0.04, 0.11]",899.5,0.59,0.27
n_first_person_singular_to_n_words,5,40,"0.10 [0.07, 0.13]",46,"0.06 [0.01, 0.10]","1,267.5",0.69,0.01*
words_per_sec,1,34,"2.39 [2.04, 2.90]",34,"2.55 [1.96, 3.04]",566,0.51,0.89
words_per_sec,2,34,"2.79 [2.46, 3.38]",40,"2.60 [2.10, 3.06]",843,0.62,0.14
words_per_sec,3,37,"2.99 [2.70, 3.36]",37,"2.60 [2.25, 3.03]",931,0.68,0.02*
words_per_sec,4,37,"2.75 [2.47, 3.12]",41,"2.30 [1.93, 2.87]","1,024",0.68,0.02*
words_per_sec,5,40,"2.64 [2.08, 2.94]",46,"2.62 [2.30, 2.99]",883,0.52,0.85
