var,block,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
n_second_person_singular_to_n_words,1,38,"0.02 [0.00, 0.03]",21,"0.00 [0.00, 0.03]",462.5,0.58,0.37
n_second_person_singular_to_n_words,2,46,"0.00 [0.00, 0.04]",18,"0.01 [0.00, 0.02]",456,0.55,0.57
n_second_person_singular_to_n_words,3,37,"0.02 [0.00, 0.05]",17,"0.01 [0.00, 0.04]",352,0.56,0.57
n_second_person_singular_to_n_words,4,40,"0.01 [0.00, 0.03]",17,"0.02 [0.00, 0.07]",263.5,0.61,0.30
n_second_person_singular_to_n_words,5,46,"0.00 [0.00, 0.02]",20,"0.02 [0.00, 0.04]",312,0.66,0.05*
pause_duration_per_sec,1,38,"0.00 [0.00, 0.00]",21,"0.00 [0.00, 0.16]",228,0.71,2.00x10-4***
pause_duration_per_sec,2,46,"0.00 [0.00, 0.00]",18,"0.00 [0.00, 0.09]",299,0.64,1.99x10-3**
pause_duration_per_sec,3,37,"0.00 [0.00, 0.00]",17,"0.00 [0.00, 0.00]",240.5,0.62,0.01*
pause_duration_per_sec,4,40,"0.00 [0.00, 0.15]",17,"0.00 [0.00, 0.23]",329,0.52,0.84
pause_duration_per_sec,5,46,"0.12 [0.00, 0.25]",20,"0.00 [0.00, 0.00]",634,0.69,0.03*
jitter,1,38,"0.02 [0.02, 0.02]",21,"0.03 [0.03, 0.03]",119,0.85,2.00x10-4***
jitter,2,46,"0.02 [0.02, 0.02]",18,"0.02 [0.02, 0.03]",190,0.77,5.29x10-3**
jitter,3,37,"0.02 [0.02, 0.02]",17,"0.02 [0.02, 0.03]",159,0.75,0.02*
jitter,4,40,"0.02 [0.02, 0.02]",17,"0.02 [0.02, 0.03]",263,0.61,0.30
jitter,5,46,"0.02 [0.02, 0.02]",20,"0.02 [0.02, 0.03]",429,0.53,0.73
n_first_person_singular_to_n_words,1,38,"0.09 [0.08, 0.14]",21,"0.08 [0.03, 0.12]",505.5,0.63,0.19
n_first_person_singular_to_n_words,2,46,"0.10 [0.07, 0.15]",18,"0.10 [0.08, 0.12]",440.5,0.53,0.73
n_first_person_singular_to_n_words,3,37,"0.10 [0.08, 0.12]",17,"0.07 [0.03, 0.10]",389.5,0.62,0.30
n_first_person_singular_to_n_words,4,40,"0.12 [0.07, 0.15]",17,"0.07 [0.02, 0.09]",503,0.74,0.02*
n_first_person_singular_to_n_words,5,46,"0.11 [0.06, 0.15]",20,"0.09 [0.05, 0.11]",583,0.63,0.19
words_per_sec,1,38,"2.42 [2.12, 2.86]",21,"2.65 [2.38, 3.21]",349,0.56,0.54
words_per_sec,2,46,"2.43 [1.90, 2.83]",18,"2.93 [2.36, 3.34]",257,0.69,0.05*
words_per_sec,3,37,"2.34 [2.05, 2.78]",17,"2.50 [2.20, 3.07]",245,0.61,0.31
words_per_sec,4,40,"2.54 [2.23, 3.08]",17,"2.83 [2.39, 3.31]",276,0.59,0.37
words_per_sec,5,46,"2.32 [2.00, 3.01]",20,"2.76 [2.42, 2.89]",371,0.60,0.32
