var,block,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
audio_predicted_emotion,1,34,"0.53 [0.45, 0.61]",34,"0.53 [0.43, 0.59]",615,0.53,0.79
audio_predicted_emotion,2,34,"0.52 [0.46, 0.61]",40,"0.52 [0.45, 0.60]",719,0.53,0.79
audio_predicted_emotion,3,37,"0.55 [0.44, 0.63]",37,"0.55 [0.45, 0.63]",685,0.50,1.00
audio_predicted_emotion,4,37,"0.55 [0.46, 0.60]",41,"0.55 [0.51, 0.60]",704,0.54,0.79
audio_predicted_emotion,5,40,"0.59 [0.52, 0.65]",46,"0.53 [0.46, 0.64]","1,103",0.60,0.25
words_per_sec,1,34,"2.39 [2.04, 2.90]",34,"2.55 [1.96, 3.04]",566,0.51,0.94
words_per_sec,2,34,"2.79 [2.46, 3.38]",40,"2.60 [2.10, 3.06]",843,0.62,0.18
words_per_sec,3,37,"2.99 [2.70, 3.36]",37,"2.60 [2.25, 3.03]",931,0.68,0.03*
words_per_sec,4,37,"2.75 [2.47, 3.12]",41,"2.30 [1.93, 2.87]","1,024",0.68,0.03*
words_per_sec,5,40,"2.64 [2.08, 2.94]",46,"2.62 [2.30, 2.99]",883,0.52,0.85
pause_duration_per_sec,1,34,"0.00 [0.00, 0.00]",34,"0.00 [0.00, 0.21]",439,0.62,0.07+
pause_duration_per_sec,2,34,"0.00 [0.00, 0.10]",40,"0.00 [0.00, 0.25]",506.5,0.63,0.08+
pause_duration_per_sec,3,37,"0.00 [0.00, 0.00]",37,"0.10 [0.00, 0.45]",357,0.74,2.37x10-4***
pause_duration_per_sec,4,37,"0.00 [0.00, 0.00]",41,"0.29 [0.00, 0.78]",356,0.77,5.09x10-5***
pause_duration_per_sec,5,40,"0.00 [0.00, 0.00]",46,"0.08 [0.00, 0.20]",471,0.74,5.09x10-5***
jitter,1,34,"0.02 [0.02, 0.02]",34,"0.02 [0.02, 0.02]",509,0.56,0.64
jitter,2,34,"0.02 [0.02, 0.03]",40,"0.03 [0.02, 0.03]",418,0.69,0.02*
jitter,3,37,"0.02 [0.02, 0.02]",37,"0.03 [0.03, 0.03]",238,0.83,4.98x10-5***
jitter,4,37,"0.02 [0.02, 0.03]",41,"0.03 [0.03, 0.04]",313,0.79,7.41x10-5***
jitter,5,40,"0.02 [0.02, 0.03]",46,"0.03 [0.02, 0.03]",636,0.65,0.04*
n_first_person_singular_to_n_words,1,34,"0.14 [0.09, 0.17]",34,"0.10 [0.05, 0.13]",794,0.69,0.03*
n_first_person_singular_to_n_words,2,34,"0.09 [0.04, 0.11]",40,"0.08 [0.05, 0.12]",630,0.54,0.79
n_first_person_singular_to_n_words,3,37,"0.09 [0.05, 0.12]",37,"0.08 [0.06, 0.12]",701.5,0.51,0.94
n_first_person_singular_to_n_words,4,37,"0.10 [0.05, 0.14]",41,"0.09 [0.04, 0.11]",899.5,0.59,0.31
n_first_person_singular_to_n_words,5,40,"0.10 [0.07, 0.13]",46,"0.06 [0.01, 0.10]","1,267.5",0.69,0.02*
n_present_to_n_words,1,34,"0.05 [0.03, 0.08]",34,"0.04 [0.03, 0.07]",647,0.56,0.64
n_present_to_n_words,2,34,"0.05 [0.03, 0.08]",40,"0.06 [0.04, 0.08]",605.5,0.55,0.64
n_present_to_n_words,3,37,"0.06 [0.04, 0.08]",37,"0.07 [0.03, 0.09]",645,0.53,0.79
n_present_to_n_words,4,37,"0.05 [0.03, 0.08]",41,"0.06 [0.04, 0.08]",708.5,0.53,0.79
n_present_to_n_words,5,40,"0.06 [0.04, 0.09]",46,"0.05 [0.03, 0.08]","1,028.5",0.56,0.61
pitch_std,1,34,"136.26 [92.42, 194.11]",34,"136.50 [61.15, 165.56]",699,0.60,0.29
pitch_std,2,34,"179.18 [70.45, 196.37]",40,"157.03 [74.95, 172.50]",855,0.63,0.15
pitch_std,3,37,"131.53 [95.89, 182.38]",37,"144.98 [98.94, 172.52]",685,0.50,1.00
pitch_std,4,37,"164.21 [99.13, 192.49]",41,"133.18 [103.07, 161.76]",883,0.58,0.40
pitch_std,5,40,"138.19 [88.88, 186.25]",46,"143.41 [90.12, 163.00]",995,0.54,0.76
