var,block,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
audio_predicted_emotion,1,38,"0.50 [0.44, 0.60]",21,"0.62 [0.57, 0.66]",161,0.80,1.49x10-3**
audio_predicted_emotion,2,46,"0.51 [0.45, 0.55]",18,"0.52 [0.48, 0.66]",350,0.58,0.41
audio_predicted_emotion,3,37,"0.49 [0.42, 0.54]",17,"0.53 [0.46, 0.61]",224,0.64,0.17
audio_predicted_emotion,4,40,"0.49 [0.43, 0.61]",17,"0.56 [0.45, 0.62]",304,0.55,0.60
audio_predicted_emotion,5,46,"0.49 [0.42, 0.56]",20,"0.49 [0.43, 0.56]",438,0.52,0.79
words_per_sec,1,38,"2.42 [2.12, 2.86]",21,"2.65 [2.38, 3.21]",349,0.56,0.51
words_per_sec,2,46,"2.43 [1.90, 2.83]",18,"2.93 [2.36, 3.34]",257,0.69,0.05+
words_per_sec,3,37,"2.34 [2.05, 2.78]",17,"2.50 [2.20, 3.07]",245,0.61,0.29
words_per_sec,4,40,"2.54 [2.23, 3.08]",17,"2.83 [2.39, 3.31]",276,0.59,0.36
words_per_sec,5,46,"2.32 [2.00, 3.01]",20,"2.76 [2.42, 2.89]",371,0.60,0.30
pause_duration_per_sec,1,38,"0.00 [0.00, 0.00]",21,"0.00 [0.00, 0.16]",228,0.71,2.80x10-4***
pause_duration_per_sec,2,46,"0.00 [0.00, 0.00]",18,"0.00 [0.00, 0.09]",299,0.64,1.67x10-3**
pause_duration_per_sec,3,37,"0.00 [0.00, 0.00]",17,"0.00 [0.00, 0.00]",240.5,0.62,0.01*
pause_duration_per_sec,4,40,"0.00 [0.00, 0.15]",17,"0.00 [0.00, 0.23]",329,0.52,0.84
pause_duration_per_sec,5,46,"0.12 [0.00, 0.25]",20,"0.00 [0.00, 0.00]",634,0.69,0.02*
jitter,1,38,"0.02 [0.02, 0.02]",21,"0.03 [0.03, 0.03]",119,0.85,2.80x10-4***
jitter,2,46,"0.02 [0.02, 0.02]",18,"0.02 [0.02, 0.03]",190,0.77,4.93x10-3**
jitter,3,37,"0.02 [0.02, 0.02]",17,"0.02 [0.02, 0.03]",159,0.75,0.02*
jitter,4,40,"0.02 [0.02, 0.02]",17,"0.02 [0.02, 0.03]",263,0.61,0.28
jitter,5,46,"0.02 [0.02, 0.02]",20,"0.02 [0.02, 0.03]",429,0.53,0.73
n_first_person_singular_to_n_words,1,38,"0.09 [0.08, 0.14]",21,"0.08 [0.03, 0.12]",505.5,0.63,0.17
n_first_person_singular_to_n_words,2,46,"0.10 [0.07, 0.15]",18,"0.10 [0.08, 0.12]",440.5,0.53,0.74
n_first_person_singular_to_n_words,3,37,"0.10 [0.08, 0.12]",17,"0.07 [0.03, 0.10]",389.5,0.62,0.28
n_first_person_singular_to_n_words,4,40,"0.12 [0.07, 0.15]",17,"0.07 [0.02, 0.09]",503,0.74,0.02*
n_first_person_singular_to_n_words,5,46,"0.11 [0.06, 0.15]",20,"0.09 [0.05, 0.11]",583,0.63,0.17
n_present_to_n_words,1,38,"0.05 [0.03, 0.07]",21,"0.07 [0.03, 0.08]",329.5,0.59,0.36
n_present_to_n_words,2,46,"0.07 [0.04, 0.09]",18,"0.05 [0.02, 0.07]",565,0.68,0.06+
n_present_to_n_words,3,37,"0.06 [0.04, 0.09]",17,"0.05 [0.03, 0.07]",386,0.61,0.28
n_present_to_n_words,4,40,"0.06 [0.03, 0.08]",17,"0.04 [0.03, 0.06]",418,0.61,0.28
n_present_to_n_words,5,46,"0.06 [0.04, 0.09]",20,"0.06 [0.04, 0.07]",537,0.58,0.36
pitch_std,1,38,"172.60 [142.34, 188.13]",21,"135.75 [81.63, 167.00]",570,0.71,0.02*
pitch_std,2,46,"186.80 [153.36, 196.24]",18,"138.78 [79.35, 152.69]",683,0.82,7.11x10-4***
pitch_std,3,37,"188.96 [138.79, 195.73]",17,"152.74 [108.65, 167.27]",434,0.69,0.06+
pitch_std,4,40,"107.87 [77.76, 146.80]",17,"150.21 [133.93, 166.02]",234,0.66,0.14
pitch_std,5,46,"125.34 [86.06, 141.29]",20,"154.36 [137.56, 177.18]",262,0.72,0.02*
