condition,var,n_low,med_[quantiles]_low,n_high,med_[quantiles]_high,U,CLES,FDR
placebo,audio_predicted_emotion,38,"0.50 [0.44, 0.60]",21,"0.62 [0.57, 0.66]",161.0,0.80,1.70x10-3**
placebo,audio_predicted_emotion,46,"0.51 [0.45, 0.55]",18,"0.52 [0.48, 0.66]",350.0,0.58,0.69
placebo,audio_predicted_emotion,37,"0.49 [0.42, 0.54]",17,"0.53 [0.46, 0.61]",224.0,0.64,0.31
placebo,audio_predicted_emotion,40,"0.49 [0.43, 0.61]",17,"0.56 [0.45, 0.62]",304.0,0.55,0.79
placebo,audio_predicted_emotion,46,"0.49 [0.42, 0.56]",20,"0.49 [0.43, 0.56]",438.0,0.52,0.79
placebo,text_predicted_emotion,38,"0.66 [0.51, 0.76]",21,"0.75 [0.63, 0.80]",277.0,0.65,0.27
placebo,text_predicted_emotion,46,"0.62 [0.49, 0.81]",18,"0.66 [0.56, 0.69]",396.0,0.52,0.79
placebo,text_predicted_emotion,37,"0.66 [0.54, 0.72]",17,"0.59 [0.46, 0.74]",336.0,0.53,0.79
placebo,text_predicted_emotion,40,"0.57 [0.54, 0.75]",17,"0.65 [0.47, 0.78]",310.0,0.54,0.79
placebo,text_predicted_emotion,46,"0.64 [0.52, 0.71]",20,"0.57 [0.43, 0.65]",556.0,0.60,0.46
mdma_high,audio_predicted_emotion,34,"0.53 [0.45, 0.61]",34,"0.53 [0.43, 0.59]",615.0,0.53,0.96
mdma_high,audio_predicted_emotion,34,"0.52 [0.46, 0.61]",40,"0.52 [0.45, 0.60]",719.0,0.53,0.96
mdma_high,audio_predicted_emotion,37,"0.55 [0.44, 0.63]",37,"0.55 [0.45, 0.63]",685.0,0.50,1.00
mdma_high,audio_predicted_emotion,37,"0.55 [0.46, 0.60]",41,"0.55 [0.51, 0.60]",704.0,0.54,0.96
mdma_high,audio_predicted_emotion,40,"0.59 [0.52, 0.65]",46,"0.53 [0.46, 0.64]",1103.0,0.60,0.62
mdma_high,text_predicted_emotion,34,"0.67 [0.60, 0.78]",34,"0.69 [0.56, 0.78]",592.0,0.51,0.96
mdma_high,text_predicted_emotion,34,"0.68 [0.54, 0.77]",40,"0.68 [0.61, 0.75]",652.0,0.52,0.96
mdma_high,text_predicted_emotion,37,"0.64 [0.52, 0.77]",37,"0.69 [0.61, 0.80]",572.0,0.58,0.62
mdma_high,text_predicted_emotion,37,"0.70 [0.50, 0.79]",41,"0.69 [0.63, 0.81]",614.0,0.60,0.62
mdma_high,text_predicted_emotion,40,"0.69 [0.60, 0.83]",46,"0.64 [0.56, 0.79]",1054.0,0.57,0.62
