biotype,var,n_placebo,med_[quantiles]_placebo,n_mdma,med_[quantiles]_mdma,U,CLES,FDR
high,audio_predicted_emotion,21,"0.62 [0.57, 0.66]",34,"0.53 [0.43, 0.59]",542.0,0.76,0.01*
high,audio_predicted_emotion,18,"0.52 [0.48, 0.66]",40,"0.52 [0.45, 0.60]",398.0,0.55,0.66
high,audio_predicted_emotion,17,"0.53 [0.46, 0.61]",37,"0.55 [0.45, 0.63]",310.0,0.51,0.94
high,audio_predicted_emotion,17,"0.56 [0.45, 0.62]",41,"0.55 [0.51, 0.60]",328.0,0.53,0.81
high,audio_predicted_emotion,20,"0.49 [0.43, 0.56]",46,"0.53 [0.46, 0.64]",350.0,0.62,0.33
high,text_predicted_emotion,21,"0.75 [0.63, 0.80]",34,"0.69 [0.56, 0.78]",436.0,0.61,0.33
high,text_predicted_emotion,18,"0.66 [0.56, 0.69]",40,"0.68 [0.61, 0.75]",296.0,0.59,0.41
high,text_predicted_emotion,17,"0.59 [0.46, 0.74]",37,"0.69 [0.61, 0.80]",240.0,0.62,0.33
high,text_predicted_emotion,17,"0.65 [0.47, 0.78]",41,"0.69 [0.63, 0.81]",273.0,0.61,0.33
high,text_predicted_emotion,20,"0.57 [0.43, 0.65]",46,"0.64 [0.56, 0.79]",300.0,0.67,0.13
low,audio_predicted_emotion,38,"0.50 [0.44, 0.60]",34,"0.53 [0.45, 0.61]",587.0,0.55,0.64
low,audio_predicted_emotion,46,"0.51 [0.45, 0.55]",34,"0.52 [0.46, 0.61]",685.0,0.56,0.64
low,audio_predicted_emotion,37,"0.49 [0.42, 0.54]",37,"0.55 [0.44, 0.63]",503.0,0.63,0.17
low,audio_predicted_emotion,40,"0.49 [0.43, 0.61]",37,"0.55 [0.46, 0.60]",601.0,0.59,0.39
low,audio_predicted_emotion,46,"0.49 [0.42, 0.56]",40,"0.59 [0.52, 0.65]",467.0,0.75,8.94x10-4***
low,text_predicted_emotion,38,"0.66 [0.51, 0.76]",34,"0.67 [0.60, 0.78]",584.0,0.55,0.64
low,text_predicted_emotion,46,"0.62 [0.49, 0.81]",34,"0.68 [0.54, 0.77]",735.0,0.53,0.72
low,text_predicted_emotion,37,"0.66 [0.54, 0.72]",37,"0.64 [0.52, 0.77]",684.0,0.50,1.00
low,text_predicted_emotion,40,"0.57 [0.54, 0.75]",37,"0.70 [0.50, 0.79]",668.0,0.55,0.64
low,text_predicted_emotion,46,"0.64 [0.52, 0.71]",40,"0.69 [0.60, 0.83]",670.0,0.64,0.15
