var_x,var_y,block,n,r_[CI],FDR
gpt5_open_boundary_openness,audio_predicted_emotion,1,68,"0.33 [0.15, 0.49]",0.06+
gpt5_open_boundary_openness,audio_predicted_emotion,2,74,"-0.09 [-0.28, 0.11]",0.46
gpt5_open_boundary_openness,audio_predicted_emotion,3,74,"0.23 [0.06, 0.39]",0.09+
gpt5_open_boundary_openness,audio_predicted_emotion,4,77,"0.24 [0.06, 0.42]",0.09+
gpt5_open_boundary_openness,audio_predicted_emotion,5,86,"0.11 [-0.06, 0.28]",0.34
gpt5_open_boundary_openness,text_predicted_emotion,1,68,"0.26 [0.06, 0.43]",0.09+
gpt5_open_boundary_openness,text_predicted_emotion,2,74,"-0.24 [-0.41, -0.05]",0.09+
gpt5_open_boundary_openness,text_predicted_emotion,3,74,"0.12 [-0.07, 0.30]",0.34
gpt5_open_boundary_openness,text_predicted_emotion,4,77,"0.19 [-0.01, 0.37]",0.17
gpt5_open_boundary_openness,text_predicted_emotion,5,86,"-0.13 [-0.30, 0.05]",0.34
